,0
0,CC(C)(C)OOC(C)(C)c1ccc(cc1)C(C)(C)OOC(C)(C)C
1,C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C
2,C[Si](O[Si](C)(C)C)O[Si](C)(C)C
3,Clc1ccc(cc1Cl)C(Cl)(Cl)Cl
4,CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C
5,COc1ccc(cc1)C(=O)CC(=O)c2ccc(cc2)C(C)(C)C
6,Clc1ccccc1C(Cl)(c2ccccc2)c3ccccc3
7,CCCCCCCCCCCCCCC=C
8,CC(C)(C)CC(C)(C)c1ccc(O)c(c1)n2nc3ccccc3n2
9,CC(C)(c1ccccc1)c2cc(n3nc4ccccc4n3)c(O)c(c2)C(C)(C)c5ccccc5
10,CC(C)(C)CC(C)(C)c1cc(n2nc3ccccc3n2)c(O)c(c1)C(C)(C)c4ccccc4
11,CC(C)(C)c1cc(Cc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C
12,C=CCOc1nc(OCC=C)nc(OCC=C)n1
13,Oc1c(Br)cc(Br)cc1Br
14,Brc1cc(Br)c(Oc2nc(Oc3c(Br)cc(Br)cc3Br)nc(Oc4c(Br)cc(Br)cc4Br)n2)c(Br)c1
15,CCC(C)(C)c1cc(O)c(cc1O)C(C)(C)CC
16,Clc1cccc(Cl)c1Nc2ccccc2
17,CCCCCCCCC(CO)CCCCCC
18,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C
19,CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
20,CC(C)CCCC(C)CCCC(C)CCCC(C)(O)C=C
21,CCCCNC(=O)Nc1ccc(Cc2ccc(NC(=O)NCCCC)cc2)cc1
22,CCOC(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F
23,CC(Cc1cccc(CC(C)c2ccc(O)cc2)c1)c3ccc(O)cc3
24,Cc1cc(O)c(cc1Sc2cc(c(O)cc2C)C(C)(C)C)C(C)(C)C
25,CCC(C)CCCOC(=O)CCc1cc(n2nc3ccccc3n2)c(O)c(c1)C(C)(C)C
26,Cc1ccccc1Cc2ccccc2
27,c1ccc(cc1)c2ccccc2
28,Clc1ccc(cc1)[S](=O)(=O)c2ccc(Cl)cc2
29,CC(C)c1ccc2ccccc2c1C(C)C
30,CC(C)(OOC(C)(C)c1ccccc1)c2ccccc2
31,CCO[P](=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
32,C1CCC2CCCCC2C1
33,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
34,CC(C)CCCCCCCOC(=O)CCCCCCCC(=O)OCCCCCCCC(C)C
35,[Na+].[Na+].[O-][S](=O)(=O)c1ccccc1\C=C/c2ccc(cc2)c3ccc(cc3)\C=C/c4ccccc4[S]([O-])(=O)=O
36,CC1CC(C)(C)CC(C1)(OOC(C)(C)C)OOC(C)(C)C
37,Cc1ccccc1Oc2ccccc2C
38,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
39,C[Si](C)(C)O[Si](C)(C)C
40,CCCCCCCCCCCc1ccccc1
41,CC(C)CCC(C)Nc1ccc(Nc2ccccc2)cc1
42,CCCCC(CC)CNc1ccc2ccccc2c1
43,Brc1c(Br)c(Br)c2C(=O)N(CCN3C(=O)c4c(Br)c(Br)c(Br)c(Br)c4C3=O)C(=O)c2c1Br
44,N(c1ccccc1)c2cccc3ccccc23
45,S=[P](Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3
46,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
47,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c2ccccc2
48,CC(C)=C.Cc1ccc(O)cc1.C2C=CC3C4CC(C=C4)C23
49,Oc1ccc(C=C)cc1C=C
50,[Zn++].CC(C)CC(C)O[P]([S-])(=S)OC(C)C.CC(C)CC(C)O[P]([S-])(=S)OC(C)C
51,Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl
52,CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(c1)C(=O)OCC(CC)CCCC
53,[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(CC)CCCC.CCCCC(CC)CO[P]([S-])(=S)OCC(CC)CCCC
