,0
0,Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(c1)[N+]([O-])=O
1,CC1CC(C)(C)c2cc(C(C)=O)c(C)cc2C1(C)C
2,C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C
3,C[SiH](O[Si](C)(C)C)O[Si](C)(C)C
4,[nH]1cncn1
5,Clc1ccccc1Cl
6,Clc1ccc(cc1Cl)C(Cl)(Cl)Cl
7,CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C
8,CCNC(=S)NCC
9,Oc1ccc2ccccc2c1N=Nc3ccc(cc3[N+]([O-])=O)[N+]([O-])=O
10,Oc1ccc2ccccc2c1N=Nc3ccc(cc3Cl)[N+]([O-])=O
11,COc1ccc(cc1)C(=O)CC(=O)c2ccc(cc2)C(C)(C)C
12,Clc1ccccc1C(Cl)(c2ccccc2)c3ccccc3
13,CCCCCCCCCCCCCCC=C
14,C[S](=O)(=O)Oc1ccc(Nc2ccc(O)c3C(=O)c4ccccc4C(=O)c23)cc1
15,CCC[N+]([O-])=O
16,CC(O)c1ccccc1
17,CC(C)(C)CC(C)(C)c1ccc(O)c(c1)n2nc3ccccc3n2
18,CC(C)(c1ccccc1)c2cc(n3nc4ccccc4n3)c(O)c(c2)C(C)(C)c5ccccc5
19,CC(C)(C)CC(C)(C)c1cc(n2nc3ccccc3n2)c(O)c(c1)C(C)(C)c4ccccc4
20,CC(Cc1ccc(cc1)C(C)(C)C)C=O
21,CCC(Cc1ccc(C)cc1)(N(C)C)C(=O)c2ccc(cc2)N3CCOCC3
22,Oc1ccc(c(O)c1)C(=O)c2ccc(O)cc2O
23,CC1CC(CCC1N)CC2CCC(N)C(C)C2
24,OCCNCCO
25,C=CCOc1nc(OCC=C)nc(OCC=C)n1
26,Oc1c(Br)cc(Br)cc1Br
27,C[Si]1(CCC(F)(F)F)O[Si](C)(CCC(F)(F)F)O[Si](C)(CCC(F)(F)F)O1
28,Brc1cc(Br)c(Oc2nc(Oc3c(Br)cc(Br)cc3Br)nc(Oc4c(Br)cc(Br)cc4Br)n2)c(Br)c1
29,Oc1ccc(c(O)c1)C(=O)c2ccccc2
30,CC(C)(C)c1ccc(O)c(c1)C(C)(C)C
31,C1CO[Sb]2OCCO[Sb](O1)OCCO2
32,[O-][N+](=O)c1cc(Cl)ccc1Cl
33,CCC(C)(C)c1cc(O)c(cc1O)C(C)(C)CC
34,CCC(C)CCCC(C)CCCC(C)C
35,Clc1cccc(Cl)c1Nc2ccccc2
36,Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C
37,CN1C(=O)c2ccc3c4ccc5C(=O)N(C)C(=O)c6ccc(c7ccc(C1=O)c2c37)c4c56
38,COc1ccccc1NC(=O)C(N=Nc2ccc(cc2OC)[N+]([O-])=O)C(C)=O
39,CC(=O)C(N=Nc1ccc(Cl)cc1[N+]([O-])=O)C(=O)Nc2ccccc2Cl
40,COc1ccc(N=NC(C(C)=O)C(=O)Nc2ccccc2OC)c(c1)[N+]([O-])=O
41,CC(C)(c1ccc(OCCO)cc1)c2ccc(OCCO)cc2
42,FC(F)(F)C(Br)=C
43,CCc1[nH]cc(C)n1
44,CCCCCCCCC(CO)CCCCCC
45,Cc1[nH]nc(C)c1
46,CC(C)CCCC(C)CCCC(C)CCCC(C)(O)C=C
47,Nc1cccc(O)c1
48,CN(C)CCCN
49,CCCCNC(=O)Nc1ccc(Cc2ccc(NC(=O)NCCCC)cc2)cc1
50,CCOC(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F
51,CC(C)CCO
52,Cc1cc[nH]n1
53,CC(C)Oc1ccc(cc1)[S](=O)(=O)c2ccc(O)cc2
54,CCC(C)(c1ccc(O)cc1)c2ccc(O)cc2
55,C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3
56,Cc1cc(Cc2cc(C)c(O)c(C)c2)cc(C)c1O
57,Oc1ccc(Cc2ccc(O)cc2)cc1
58,Oc1ccc(cc1)[S](=O)(=O)c2ccc(O)cc2
59,Nc1ccc(O)cc1
60,O=NN1CCOCC1
61,Cc1ccc(N)cc1O
62,CC(c1ccccc1)c2ccc3CCCCc3c2
63,Cc1cc(Cc2cc(C)cc(c2O)C(C)(C)C)c(O)c(c1)C(C)(C)C
64,CCCC(c1cc(c(O)cc1C)C(C)(C)C)c2cc(c(O)cc2C)C(C)(C)C
65,Cc1cc(O)c(cc1Sc2cc(c(O)cc2C)C(C)(C)C)C(C)(C)C
66,Cc1cc(C)c(O)c(c1)C(C)(C)C
67,O=Cc1ccccc1
68,[nH]1nnc2ccccc12
69,Cc1ccccc1Cc2ccccc2
70,c1ccc(cc1)c2ccccc2
71,CCCCC(CC)CNCC(CC)CCCC
72,[Cu++].CCCCN(CCCC)C([S-])=S.CCCCN(CCCC)C([S-])=S
73,CC(C)c1ccc2ccccc2c1C(C)C
74,CCCCCCCCCc1ccccc1Nc2ccccc2CCCCCCCCC
75,[Ca++].CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O
76,CC(=O)C(C)=O
77,CCC(C)=O
78,CCO[P](=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
79,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2ccnc2
80,C1CCC2CCCCC2C1
81,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
82,C1C=CC2C3CC(C=C3)C12
83,CCc1cc(N)c(N)c(C)c1CC
84,N=C(Nc1ccccc1)Nc2ccccc2
85,CC(C)c1ccccc1C(C)C
86,C1COCCO1
87,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
88,CCCCCCCCCCCCc1ccccc1O
89,OCCO
90,O=Cc1occc1
91,O=CCCCC=O
92,FC(F)=C(F)C(F)(F)F
93,[O-][N+](=O)N1CN(CN(C1)[N+]([O-])=O)[N+]([O-])=O
94,C[Si](C)(C)O[Si](C)(C)C
95,CC1CC(CC(C)(C)C1)OC(=O)c2ccccc2O
96,CC1=CC(=O)CC(C)(C)C1
97,C1OC1COc2cccc(OCC3CO3)c2
98,CC(C)c1cccc(c1)C(C)C
99,Cc1cccc(C)c1
100,CC(C)CCC(C)Nc1ccc(Nc2ccccc2)cc1
101,CCCCC(CC)CNc1ccc2ccccc2c1
102,C1CCC(CC1)N(Sc2sc3ccccc3n2)C4CCCCC4
103,CCN(O)CC
104,Brc1c(Br)c(Br)c2C(=O)N(CCN3C(=O)c4c(Br)c(Br)c(Br)c(Br)c4C3=O)C(=O)c2c1Br
105,CC(=O)Nc1ccc(Nc2ccc(O)c3C(=O)c4ccccc4C(=O)c23)cc1
106,N(c1ccccc1)c2cccc3ccccc23
107,CC[N+]([O-])=O
108,C[N+]([O-])=O
109,CNc1ccccc1
110,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
111,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c2ccccc2
112,COc1ccc(c(O)c1)C(=O)c2ccccc2
113,Cc1ccccc1C
114,C1OC1COc2ccc(cc2)N(CC3CO3)CC4CO4
115,CC(C)c1ccc(cc1)C(C)C
116,FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
117,O=C1NC(=O)c2ccc3c4ccc5C(=O)NC(=O)c6ccc(c7ccc1c2c37)c4c56
118,CC(C)(C)c1ccc(OC2CCCCC2O[S](=O)OCC#C)cc1
119,Oc1cccc(O)c1
120,C=Cc1ccccc1
121,COc1ccc(O)c(c1)C(C)(C)C
122,CN1C(=O)N(C)c2nc[nH]c2C1=O
123,NC(N)=S
124,CC1CC(C)(C)c2cc(C(C)=O)c(C)cc2C1(C)C
125,Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1
126,Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl
127,CO[Si](C)(OC)OC
128,CCCCC(CC)Cc1c(CC(CC)CCCC)c(C([O-])=O)c(C([O-])=O)c(CC(CC)CCCC)c1C([O-])=O
129,COC([SiH3])=C(OC)OC
130,[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S
